Datum,FinanceGroep,Budget
1/1/2022,Vol betalend,0
1/1/2022,Actie,0
1/1/2022,Accommodatie,0
1/1/2022,Scholen alleen entree,0
1/1/2022,Evenementen Scholen,0
1/1/2022,Evenementen met entree,0
1/1/2022,Groepen,0
1/1/2022,Gratis/ <3,0
1/1/2022,Abonnement,0
1/2/2022,Vol betalend,0
1/2/2022,Actie,0
1/2/2022,Accommodatie,0
1/2/2022,Scholen alleen entree,0
1/2/2022,Evenementen Scholen,0
1/2/2022,Evenementen met entree,0
1/2/2022,Groepen,0
1/2/2022,Gratis/ <3,0
1/2/2022,Abonnement,0
1/3/2022,Vol betalend,0
1/3/2022,Actie,0
1/3/2022,Accommodatie,0
1/3/2022,Scholen alleen entree,0
1/3/2022,Evenementen Scholen,0
1/3/2022,Evenementen met entree,0
1/3/2022,Groepen,0
1/3/2022,Gratis/ <3,0
1/3/2022,Abonnement,0
1/4/2022,Vol betalend,0
1/4/2022,Actie,0
1/4/2022,Accommodatie,0
1/4/2022,Scholen alleen entree,0
1/4/2022,Evenementen Scholen,0
1/4/2022,Evenementen met entree,0
1/4/2022,Groepen,0
1/4/2022,Gratis/ <3,0
1/4/2022,Abonnement,0
1/5/2022,Vol betalend,0
1/5/2022,Actie,0
1/5/2022,Accommodatie,0
1/5/2022,Scholen alleen entree,0
1/5/2022,Evenementen Scholen,0
1/5/2022,Evenementen met entree,0
1/5/2022,Groepen,0
1/5/2022,Gratis/ <3,0
1/5/2022,Abonnement,0
1/6/2022,Vol betalend,0
1/6/2022,Actie,0
1/6/2022,Accommodatie,0
1/6/2022,Scholen alleen entree,0
1/6/2022,Evenementen Scholen,0
1/6/2022,Evenementen met entree,0
1/6/2022,Groepen,0
1/6/2022,Gratis/ <3,0
1/6/2022,Abonnement,0
1/7/2022,Vol betalend,0
1/7/2022,Actie,0
1/7/2022,Accommodatie,0
1/7/2022,Scholen alleen entree,0
1/7/2022,Evenementen Scholen,0
1/7/2022,Evenementen met entree,0
1/7/2022,Groepen,0
1/7/2022,Gratis/ <3,0
1/7/2022,Abonnement,0
1/8/2022,Vol betalend,0
1/8/2022,Actie,0
1/8/2022,Accommodatie,0
1/8/2022,Scholen alleen entree,0
1/8/2022,Evenementen Scholen,0
1/8/2022,Evenementen met entree,0
1/8/2022,Groepen,0
1/8/2022,Gratis/ <3,0
1/8/2022,Abonnement,0
1/9/2022,Vol betalend,0
1/9/2022,Actie,0
1/9/2022,Accommodatie,0
1/9/2022,Scholen alleen entree,0
1/9/2022,Evenementen Scholen,0
1/9/2022,Evenementen met entree,0
1/9/2022,Groepen,0
1/9/2022,Gratis/ <3,0
1/9/2022,Abonnement,0
1/10/2022,Vol betalend,0
1/10/2022,Actie,0
1/10/2022,Accommodatie,0
1/10/2022,Scholen alleen entree,0
1/10/2022,Evenementen Scholen,0
1/10/2022,Evenementen met entree,0
1/10/2022,Groepen,0
1/10/2022,Gratis/ <3,0
1/10/2022,Abonnement,0
1/11/2022,Vol betalend,0
1/11/2022,Actie,0
1/11/2022,Accommodatie,0
1/11/2022,Scholen alleen entree,0
1/11/2022,Evenementen Scholen,0
1/11/2022,Evenementen met entree,0
1/11/2022,Groepen,0
1/11/2022,Gratis/ <3,0
1/11/2022,Abonnement,0
1/12/2022,Vol betalend,0
1/12/2022,Actie,0
1/12/2022,Accommodatie,0
1/12/2022,Scholen alleen entree,0
1/12/2022,Evenementen Scholen,0
1/12/2022,Evenementen met entree,0
1/12/2022,Groepen,0
1/12/2022,Gratis/ <3,0
1/12/2022,Abonnement,0
1/13/2022,Vol betalend,0
1/13/2022,Actie,0
1/13/2022,Accommodatie,0
