Date,Name
2023-01-01,New Year's Day
2023-04-07,Good Friday
2023-04-09,Easter Sunday
2023-04-10,Easter Monday
2023-04-27,King's Day
2023-05-05,Liberation Day
2023-05-18,Ascension Day
2023-05-28,Pentecost Sunday
2023-05-29,Pentecost Monday
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2023-02-18,Spring Holiday
2023-02-19,Spring Holiday
2023-02-20,Spring Holiday
2023-02-21,Spring Holiday
2023-02-22,Spring Holiday
2023-02-23,Spring Holiday
2023-02-24,Spring Holiday
2023-02-25,Spring Holiday
2023-02-26,Spring Holiday
2023-04-22,May Holiday
2023-04-23,May Holiday
2023-04-24,May Holiday
2023-04-25,May Holiday
2023-04-26,May Holiday
2023-04-27,May Holiday
2023-04-28,May Holiday
2023-04-29,May Holiday
2023-04-30,May Holiday
2023-05-01,May Holiday
2023-05-02,May Holiday
2023-05-03,May Holiday
2023-05-04,May Holiday
2023-05-05,May Holiday
2023-05-06,May Holiday
2023-05-07,May Holiday
2023-07-08,Summer Holiday
2023-07-09,Summer Holiday
2023-07-10,Summer Holiday
2023-07-11,Summer Holiday
2023-07-12,Summer Holiday
2023-07-13,Summer Holiday
2023-07-14,Summer Holiday
2023-07-15,Summer Holiday
2023-07-16,Summer Holiday
2023-07-17,Summer Holiday
2023-07-18,Summer Holiday
2023-07-19,Summer Holiday
2023-07-20,Summer Holiday
2023-07-21,Summer Holiday
2023-07-22,Summer Holiday
2023-07-23,Summer Holiday
2023-07-24,Summer Holiday
2023-07-25,Summer Holiday
2023-07-26,Summer Holiday
2023-07-27,Summer Holiday
2023-07-28,Summer Holiday
2023-07-29,Summer Holiday
2023-07-30,Summer Holiday
2023-07-31,Summer Holiday
2023-08-01,Summer Holiday
2023-08-02,Summer Holiday
2023-08-03,Summer Holiday
2023-08-04,Summer Holiday
2023-08-05,Summer Holiday
2023-08-06,Summer Holiday
2023-08-07,Summer Holiday
2023-08-08,Summer Holiday
2023-08-09,Summer Holiday
2023-08-10,Summer Holiday
2023-08-11,Summer Holiday
2023-08-12,Summer Holiday
2023-08-13,Summer Holiday
2023-08-14,Summer Holiday
2023-08-15,Summer Holiday
2023-08-16,Summer Holiday
2023-08-17,Summer Holiday
2023-08-18,Summer Holiday
2023-08-19,Summer Holiday
2023-08-20,Summer Holiday
2023-08-21,Summer Holiday
2023-08-22,Summer Holiday
2023-08-23,Summer Holiday
2023-08-24,Summer Holiday
2023-08-25,Summer Holiday
2023-08-26,Summer Holiday
2023-08-27,Summer Holiday
2023-08-28,Summer Holiday
2023-08-29,Summer Holiday
2023-08-30,Summer Holiday
2023-08-31,Summer Holiday
2023-10-14,Autumn Holiday
2023-10-15,Autumn Holiday
2023-10-16,Autumn Holiday
2023-10-17,Autumn Holiday
2023-10-18,Autumn Holiday
2023-10-19,Autumn Holiday
2023-10-20,Autumn Holiday
2023-10-21,Autumn Holiday
2023-10-22,Autumn Holiday
2023-10-23,Autumn Holiday
2023-10-24,Autumn Holiday
2023-10-25,Autumn Holiday
2023-10-26,Autumn Holiday
2023-10-27,Autumn Holiday
2023-10-28,Autumn Holiday
2023-12-23,Christmas Holiday
2023-12-24,Christmas Holiday
2023-12-25,Christmas Holiday
2023-12-26,Christmas Holiday
2023-12-27,Christmas Holiday
2023-12-28,Christmas Holiday
2023-12-29,Christmas Holiday
2023-12-30,Christmas Holiday
2023-12-31,Christmas Holiday
2024-01-01,Christmas Holiday
2024-01-02,Christmas Holiday
2024-01-03,Christmas Holiday
2024-01-04,Christmas Holiday
2024-01-05,Christmas Holiday
2024-01-06,Christmas Holiday
2024-01-07,Christmas Holiday
