date,holiday_name
2024-01-01,New Year's Day
2024-01-06,Epiphany
2024-03-29,Good Friday
2024-03-31,Easter Sunday
2024-04-01,Easter Monday
2024-05-01,Labour Day
2024-05-09,Ascension Day
2024-05-19,Whit Sunday
2024-05-20,Whit Monday
2024-05-30,Corpus Christi
2024-06-03,Pentecost Vacation
2024-06-04,Pentecost Vacation
2024-06-05,Pentecost Vacation
2024-06-06,Pentecost Vacation
2024-06-07,Pentecost Vacation
2024-06-13,Summer Vacation
2024-06-14,Summer Vacation
2024-06-15,Summer Vacation
2024-06-16,Summer Vacation
2024-06-17,Summer Vacation
2024-06-18,Summer Vacation
2024-06-19,Summer Vacation
2024-06-20,Summer Vacation
2024-06-21,Summer Vacation
2024-06-22,Summer Vacation
2024-06-23,Summer Vacation
2024-06-24,Summer Vacation
2024-06-25,Summer Vacation
2024-06-26,Summer Vacation
2024-06-27,Summer Vacation
2024-06-28,Summer Vacation
2024-06-29,Summer Vacation
2024-06-30,Summer Vacation
2024-07-01,Summer Vacation
2024-07-02,Summer Vacation
2024-07-03,Summer Vacation
2024-07-04,Summer Vacation
2024-07-05,Summer Vacation
2024-07-06,Summer Vacation
2024-07-07,Summer Vacation
2024-07-08,Summer Vacation
2024-07-09,Summer Vacation
2024-07-10,Summer Vacation
2024-07-11,Summer Vacation
2024-07-12,Summer Vacation
2024-07-13,Summer Vacation
2024-07-14,Summer Vacation
2024-07-15,Summer Vacation
2024-07-16,Summer Vacation
2024-07-17,Summer Vacation
2024-07-18,Summer Vacation
2024-07-19,Summer Vacation
2024-07-20,Summer Vacation
2024-07-21,Summer Vacation
2024-07-22,Summer Vacation
2024-07-23,Summer Vacation
2024-07-24,Summer Vacation
2024-07-25,Summer Vacation
2024-07-26,Summer Vacation
2024-07-27,Summer Vacation
2024-07-28,Summer Vacation
2024-07-29,Summer Vacation
2024-07-30,Summer Vacation
2024-07-31,Summer Vacation
2024-08-01,Summer Vacation
2024-08-02,Summer Vacation
2024-08-03,Summer Vacation
2024-08-04,Summer Vacation
2024-08-05,Summer Vacation
2024-08-06,Summer Vacation
2024-08-08,Summer Vacation Make-up Day
2024-10-02,Autumn Vacation
2024-10-03,Autumn Vacation
2024-10-04,German Unity Day
2024-10-05,Autumn Vacation
2024-10-06,Autumn Vacation
2024-10-07,Autumn Vacation
2024-10-08,Autumn Vacation
2024-10-09,Autumn Vacation
2024-10-10,Autumn Vacation
2024-10-11,Autumn Vacation
2024-10-12,Autumn Vacation
2024-10-13,Autumn Vacation
2024-10-14,Autumn Vacation
2024-10-15,Autumn Vacation
2024-10-16,Autumn Vacation
2024-10-17,Autumn Vacation
2024-10-18,Autumn Vacation
2024-10-19,Autumn Vacation
2024-10-31,Reformation Day
2024-11-01,All Saints' Day
2024-12-21,Christmas Vacation
2024-12-22,Christmas Vacation
2024-12-23,Christmas Vacation
2024-12-24,Christmas Vacation
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2024-12-27,Christmas Vacation
2024-12-28,Christmas Vacation
2024-12-29,Christmas Vacation
2024-12-30,Christmas Vacation
2024-12-31,Christmas Vacation
2025-01-01,Christmas Vacation
2025-01-02,Christmas Vacation
2025-01-03,Christmas Vacation
2025-01-04,Christmas Vacation
2025-01-05,Christmas Vacation
2025-01-06,Christmas Vacation
