Date,Name
2025-01-01,New Year's Day
2025-04-14,Palm Sunday
2025-04-18,Good Friday
2025-04-20,Easter Sunday
2025-04-21,Easter Monday
2025-05-01,Labour Day
2025-05-29,Ascension Day
2025-06-08,Pentecost Sunday
2025-06-09,Pentecost Monday
2025-06-26,Summer Holiday
2025-06-27,Summer Holiday
2025-06-28,Summer Holiday
2025-06-29,Summer Holiday
2025-06-30,Summer Holiday
2025-07-01,Summer Holiday
2025-07-02,Summer Holiday
2025-07-03,Summer Holiday
2025-07-04,Summer Holiday
2025-07-05,Summer Holiday
2025-07-06,Summer Holiday
2025-07-07,Summer Holiday
2025-07-08,Summer Holiday
2025-07-09,Summer Holiday
2025-07-10,Summer Holiday
2025-07-11,Summer Holiday
2025-07-12,Summer Holiday
2025-07-13,Summer Holiday
2025-07-14,Summer Holiday
2025-07-15,Summer Holiday
2025-07-16,Summer Holiday
2025-07-17,Summer Holiday
2025-07-18,Summer Holiday
2025-07-19,Summer Holiday
2025-07-20,Summer Holiday
2025-07-21,Summer Holiday
2025-07-22,Summer Holiday
2025-07-23,Summer Holiday
2025-07-24,Summer Holiday
2025-07-25,Summer Holiday
2025-07-26,Summer Holiday
2025-07-27,Summer Holiday
2025-07-28,Summer Holiday
2025-07-29,Summer Holiday
2025-07-30,Summer Holiday
2025-07-31,Summer Holiday
2025-08-01,Summer Holiday
2025-08-02,Summer Holiday
2025-08-03,Summer Holiday
2025-08-04,Summer Holiday
2025-08-05,Summer Holiday
2025-08-06,Summer Holiday
2025-08-07,Summer Holiday
2025-08-08,Summer Holiday
2025-08-09,Summer Holiday
2025-08-10,Summer Holiday
2025-08-11,Summer Holiday
2025-08-12,Summer Holiday
2025-08-13,Summer Holiday
2025-08-14,Summer Holiday
2025-08-15,Summer Holiday
2025-08-16,Summer Holiday
2025-08-17,Summer Holiday
2025-08-18,Summer Holiday
2025-08-19,Summer Holiday
2025-08-20,Summer Holiday
2025-08-21,Summer Holiday
2025-08-22,Summer Holiday
2025-08-23,Summer Holiday
2025-08-24,Summer Holiday
2025-08-25,Summer Holiday
2025-08-26,Summer Holiday
2025-08-27,Summer Holiday
2025-08-28,Summer Holiday
2025-08-29,Summer Holiday
2025-08-30,Summer Holiday
2025-08-31,Summer Holiday
2025-10-03,Day of German Unity
2025-10-04,Autumn Holiday
2025-10-05,Autumn Holiday
2025-10-06,Autumn Holiday
2025-10-07,Autumn Holiday
2025-10-08,Autumn Holiday
2025-10-09,Autumn Holiday
2025-10-10,Autumn Holiday
2025-10-11,Autumn Holiday
2025-10-12,Autumn Holiday
2025-10-13,Autumn Holiday
2025-10-14,Autumn Holiday
2025-10-15,Autumn Holiday
2025-10-16,Autumn Holiday
2025-10-17,Autumn Holiday
2025-10-18,Autumn Holiday
2025-10-19,Autumn Holiday
2025-10-31,Reformation Day
2025-11-19,Day of Prayer and Repentance
2025-12-22,Christmas Holiday
2025-12-23,Christmas Holiday
2025-12-24,Christmas Eve
2025-12-25,Christmas Day
2025-12-26,St. Stephen's Day
2025-12-27,Christmas Holiday
2025-12-28,Christmas Holiday
2025-12-29,Christmas Holiday
2025-12-30,Christmas Holiday
2025-12-31,New Year's Eve
2026-01-01,Christmas Holiday
2026-01-02,Christmas Holiday
2026-01-03,Christmas Holiday
2026-01-04,Christmas Holiday
2026-01-05,Christmas Holiday
2026-01-06,Christmas Holiday
