date,holiday_name
2024-01-01,New Year's Day
2024-02-12,Spring Vacation
2024-02-13,Spring Vacation
2024-02-14,Spring Vacation
2024-02-15,Spring Vacation
2024-02-16,Spring Vacation
2024-02-19,Spring Vacation
2024-02-20,Spring Vacation
2024-02-21,Spring Vacation
2024-02-22,Spring Vacation
2024-02-23,Spring Vacation
2024-02-26,Spring Vacation
2024-02-27,Spring Vacation
2024-02-28,Spring Vacation
2024-02-29,Spring Vacation
2024-03-01,Spring Vacation
2024-03-29,Good Friday
2024-03-31,Easter Sunday
2024-04-01,Easter Monday
2024-04-27,King's Day
2024-05-05,Liberation Day
2024-05-09,Ascension Day
2024-05-19,Whit Sunday
2024-05-20,Whit Monday
2024-05-25,May Vacation
2024-05-26,May Vacation
2024-06-01,May Vacation
2024-06-02,May Vacation
2024-06-08,May Vacation
2024-06-09,May Vacation
2024-07-06,Summer Vacation
2024-07-07,Summer Vacation
2024-07-08,Summer Vacation
2024-07-09,Summer Vacation
2024-07-10,Summer Vacation
2024-07-11,Summer Vacation
2024-07-12,Summer Vacation
2024-07-13,Summer Vacation
2024-07-14,Summer Vacation
2024-07-15,Summer Vacation
2024-07-16,Summer Vacation
2024-07-17,Summer Vacation
2024-07-18,Summer Vacation
2024-07-19,Summer Vacation
2024-07-20,Summer Vacation
2024-07-21,Summer Vacation
2024-07-22,Summer Vacation
2024-07-23,Summer Vacation
2024-07-24,Summer Vacation
2024-07-25,Summer Vacation
2024-07-26,Summer Vacation
2024-07-27,Summer Vacation
2024-07-28,Summer Vacation
2024-07-29,Summer Vacation
2024-07-30,Summer Vacation
2024-07-31,Summer Vacation
2024-08-01,Summer Vacation
2024-08-02,Summer Vacation
2024-08-03,Summer Vacation
2024-08-04,Summer Vacation
2024-08-05,Summer Vacation
2024-08-06,Summer Vacation
2024-08-07,Summer Vacation
2024-08-08,Summer Vacation
2024-08-09,Summer Vacation
2024-08-10,Summer Vacation
2024-08-11,Summer Vacation
2024-08-12,Summer Vacation
2024-08-13,Summer Vacation
2024-08-14,Summer Vacation
2024-08-15,Summer Vacation
2024-08-16,Summer Vacation
2024-08-17,Summer Vacation
2024-08-18,Summer Vacation
2024-08-19,Summer Vacation
2024-08-20,Summer Vacation
2024-08-21,Summer Vacation
2024-08-22,Summer Vacation
2024-08-23,Summer Vacation
2024-08-24,Summer Vacation
2024-08-25,Summer Vacation
2024-08-26,Summer Vacation
2024-08-27,Summer Vacation
2024-08-28,Summer Vacation
2024-08-29,Summer Vacation
2024-08-30,Summer Vacation
2024-08-31,Summer Vacation
2024-09-01,Summer Vacation
2024-10-12,Autumn Vacation
2024-10-13,Autumn Vacation
2024-10-14,Autumn Vacation
2024-10-15,Autumn Vacation
2024-10-16,Autumn Vacation
2024-10-17,Autumn Vacation
2024-10-18,Autumn Vacation
2024-10-19,Autumn Vacation
2024-10-20,Autumn Vacation
2024-10-21,Autumn Vacation
2024-10-22,Autumn Vacation
2024-10-23,Autumn Vacation
2024-10-24,Autumn Vacation
2024-10-25,Autumn Vacation
2024-10-26,Autumn Vacation
2024-10-27,Autumn Vacation
2024-10-28,Autumn Vacation
2024-10-29,Autumn Vacation
2024-10-30,Autumn Vacation
2024-10-31,Autumn Vacation
2024-11-01,Autumn Vacation
2024-11-02,Autumn Vacation
2024-11-03,Autumn Vacation
2024-12-21,Christmas Vacation
2024-12-22,Christmas Vacation
2024-12-23,Christmas Vacation
2024-12-24,Christmas Vacation
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2024-12-27,Christmas Vacation
2024-12-28,Christmas Vacation
2024-12-29,Christmas Vacation
2024-12-30,Christmas Vacation
2024-12-31,Christmas Vacation
2025-01-01,Christmas Vacation
2025-01-02,Christmas Vacation
2025-01-03,Christmas Vacation
2025-01-04,Christmas Vacation
2025-01-05,Christmas Vacation
