"","Ticket ID","Type of Ticket","Date","Nr Used Entrances","Temperature (mean)","Precipitation (sum)","Holiday_Germany","Holiday_Netherlands","Event","Campaign_Netherlands","Campaign_Germany"
"1",2,"Groepen",2023-01-02,1,9.5,8.1,"0","0","0","0","0"
"2",1,"Vol betalend",2023-01-02,100,9.5,8.1,"0","0","0","0","0"
"3",5,"Gratis",2023-01-02,112,9.5,8.1,"0","0","0","0","0"
"4",6,"Accommodatiehouder e-tickets",2023-01-02,12,9.5,8.1,"0","0","0","0","0"
"5",11,"Vol betalend E-Ticket",2023-01-02,988,9.5,8.1,"0","0","0","0","0"
"6",20,"Acties Overig",2023-01-02,50,9.5,8.1,"0","0","0","0","0"
"7",24,"Gratis E-Tickets",2023-01-02,117,9.5,8.1,"0","0","0","0","0"
"8",22,"Acties Joint Promotions Open e-tickets",2023-01-02,59,9.5,8.1,"0","0","0","0","0"
"9",27,"Acties Joint Promotions gesloten e-tickets",2023-01-02,271,9.5,8.1,"0","0","0","0","0"
"10",23,"Inkoop E-tickets",2023-01-02,35,9.5,8.1,"0","0","0","0","0"
"11",29,"Abonnement WILDLANDS",2023-01-02,1848,9.5,8.1,"0","0","0","0","0"
"12",28,"Entree Groepen WILDLANDS",2023-01-02,27,9.5,8.1,"0","0","0","0","0"
"13",32,"Acties Joint Promotions gesloten Overig",2023-01-02,2,9.5,8.1,"0","0","0","0","0"
"14",31,"Acties Joint Promotions open Overig",2023-01-02,20,9.5,8.1,"0","0","0","0","0"
"15",1,"Vol betalend",2023-01-03,228,4.8,0.2,"0","0","0","0","0"
"16",5,"Gratis",2023-01-03,209,4.8,0.2,"0","0","0","0","0"
"17",6,"Accommodatiehouder e-tickets",2023-01-03,66,4.8,0.2,"0","0","0","0","0"
"18",20,"Acties Overig",2023-01-03,131,4.8,0.2,"0","0","0","0","0"
"19",8,"Abonnement",2023-01-03,4,4.8,0.2,"0","0","0","0","0"
"20",23,"Inkoop E-tickets",2023-01-03,108,4.8,0.2,"0","0","0","0","0"
"21",11,"Vol betalend E-Ticket",2023-01-03,1605,4.8,0.2,"0","0","0","0","0"
"22",28,"Entree Groepen WILDLANDS",2023-01-03,41,4.8,0.2,"0","0","0","0","0"
"23",22,"Acties Joint Promotions Open e-tickets",2023-01-03,100,4.8,0.2,"0","0","0","0","0"
"24",29,"Abonnement WILDLANDS",2023-01-03,3029,4.8,0.2,"0","0","0","0","0"
"25",24,"Gratis E-Tickets",2023-01-03,176,4.8,0.2,"0","0","0","0","0"
"26",31,"Acties Joint Promotions open Overig",2023-01-03,44,4.8,0.2,"0","0","0","0","0"
"27",27,"Acties Joint Promotions gesloten e-tickets",2023-01-03,868,4.8,0.2,"0","0","0","0","0"
"28",30,"Inkoop Overig",2023-01-03,3,4.8,0.2,"0","0","0","0","0"
"29",32,"Acties Joint Promotions gesloten Overig",2023-01-03,13,4.8,0.2,"0","0","0","0","0"
"30",38,"Groepen E-Tickets",2023-01-03,1,4.8,0.2,"0","0","0","0","0"
"31",5,"Gratis",2023-01-04,54,10,20.1,"0","0","0","0","0"
"32",1,"Vol betalend",2023-01-04,109,10,20.1,"0","0","0","0","0"
"33",8,"Abonnement",2023-01-04,1,10,20.1,"0","0","0","0","0"
"34",6,"Accommodatiehouder e-tickets",2023-01-04,22,10,20.1,"0","0","0","0","0"
"35",11,"Vol betalend E-Ticket",2023-01-04,1162,10,20.1,"0","0","0","0","0"
"36",20,"Acties Overig",2023-01-04,57,10,20.1,"0","0","0","0","0"
"37",19,"Acties E-Ticket",2023-01-04,3,10,20.1,"0","0","0","0","0"
