AccessGroupId;Description;Date;NumberOfUsedEntrances
5;Gratis;2016-03-25;145
1;Vol betalend;2016-03-25;347
8;Abonnement;2016-03-25;1871
6;Accommodatiehouder e-tickets;2016-03-25;7
19;Acties E-Ticket;2016-03-25;445
20;Acties Overig;2016-03-25;4
21;Accommodatiehouder meerdagenpas;2016-03-25;12
22;Acties Joint Promotions Open e-tickets;2016-03-25;8
27;Acties Joint Promotions gesloten e-tickets;2016-03-25;226
23;Inkoop E-tickets;2016-03-25;3
29;Abonnement WILDLANDS;2016-03-25;143
31;Acties Joint Promotions open Overig;2016-03-25;15
32;Acties Joint Promotions gesloten Overig;2016-03-25;10
1;Vol betalend;2016-03-26;1021
5;Gratis;2016-03-26;42
6;Accommodatiehouder e-tickets;2016-03-26;367
8;Abonnement;2016-03-26;2751
19;Acties E-Ticket;2016-03-26;1223
21;Accommodatiehouder meerdagenpas;2016-03-26;216
20;Acties Overig;2016-03-26;32
29;Abonnement WILDLANDS;2016-03-26;324
22;Acties Joint Promotions Open e-tickets;2016-03-26;89
31;Acties Joint Promotions open Overig;2016-03-26;55
27;Acties Joint Promotions gesloten e-tickets;2016-03-26;1102
32;Acties Joint Promotions gesloten Overig;2016-03-26;37
1;Vol betalend;2016-03-27;690
5;Gratis;2016-03-27;277
6;Accommodatiehouder e-tickets;2016-03-27;203
8;Abonnement;2016-03-27;2730
19;Acties E-Ticket;2016-03-27;949
23;Inkoop E-tickets;2016-03-27;1
20;Acties Overig;2016-03-27;15
29;Abonnement WILDLANDS;2016-03-27;646
22;Acties Joint Promotions Open e-tickets;2016-03-27;73
31;Acties Joint Promotions open Overig;2016-03-27;58
25;Gratis Joint Promotions E-Tickets;2016-03-27;1
32;Acties Joint Promotions gesloten Overig;2016-03-27;53
27;Acties Joint Promotions gesloten e-tickets;2016-03-27;967
1;Vol betalend;2016-03-28;600
5;Gratis;2016-03-28;247
6;Accommodatiehouder e-tickets;2016-03-28;57
8;Abonnement;2016-03-28;2401
19;Acties E-Ticket;2016-03-28;689
20;Acties Overig;2016-03-28;17
22;Acties Joint Promotions Open e-tickets;2016-03-28;39
21;Accommodatiehouder meerdagenpas;2016-03-28;12
27;Acties Joint Promotions gesloten e-tickets;2016-03-28;608
23;Inkoop E-tickets;2016-03-28;5
32;Acties Joint Promotions gesloten Overig;2016-03-28;19
29;Abonnement WILDLANDS;2016-03-28;562
31;Acties Joint Promotions open Overig;2016-03-28;39
1;Vol betalend;2016-03-29;485
5;Gratis;2016-03-29;198
3;Scholen;2016-03-29;317
8;Abonnement;2016-03-29;958
6;Accommodatiehouder e-tickets;2016-03-29;142
20;Acties Overig;2016-03-29;22
19;Acties E-Ticket;2016-03-29;167
29;Abonnement WILDLANDS;2016-03-29;199
22;Acties Joint Promotions Open e-tickets;2016-03-29;53
31;Acties Joint Promotions open Overig;2016-03-29;65
25;Gratis Joint Promotions E-Tickets;2016-03-29;2
27;Acties Joint Promotions gesloten e-tickets;2016-03-29;914
30;Inkoop Overig;2016-03-29;2
32;Acties Joint Promotions gesloten Overig;2016-03-29;34
1;Vol betalend;2016-03-30;401
5;Gratis;2016-03-30;187
6;Accommodatiehouder e-tickets;2016-03-30;182
20;Acties Overig;2016-03-30;2
8;Abonnement;2016-03-30;1087
21;Accommodatiehouder meerdagenpas;2016-03-30;19
19;Acties E-Ticket;2016-03-30;107
23;Inkoop E-tickets;2016-03-30;2
22;Acties Joint Promotions Open e-tickets;2016-03-30;16
28;Entree Groepen WILDLANDS;2016-03-30;43
25;Gratis Joint Promotions E-Tickets;2016-03-30;4
29;Abonnement WILDLANDS;2016-03-30;210
27;Acties Joint Promotions gesloten e-tickets;2016-03-30;335
31;Acties Joint Promotions open Overig;2016-03-30;25
30;Inkoop Overig;2016-03-30;1
32;Acties Joint Promotions gesloten Overig;2016-03-30;9
1;Vol betalend;2016-03-31;414
20;Acties Overig;2016-03-31;14
5;Gratis;2016-03-31;283
23;Inkoop E-tickets;2016-03-31;2
6;Accommodatiehouder e-tickets;2016-03-31;174
26;Entree Scholen WILDLANDS;2016-03-31;2202
8;Abonnement;2016-03-31;653
28;Entree Groepen WILDLANDS;2016-03-31;61
19;Acties E-Ticket;2016-03-31;66
31;Acties Joint Promotions open Overig;2016-03-31;28
