Date,Temperature,Precipitation,ID_Time,Time,
1/1/2024 0:00,7.7,0.2,0,0,
1/1/2024 1:00,7.8,0.1,1,0.041666667,
1/1/2024 2:00,7.7,0,2,0.083333333,
1/1/2024 3:00,7.6,0.2,3,0.125,
1/1/2024 4:00,7.2,0.2,4,0.166666667,
1/1/2024 5:00,7.4,0,5,0.208333333,
1/1/2024 6:00,6.9,0,6,0.25,
1/1/2024 7:00,6.7,0,7,0.291666667,
1/1/2024 8:00,7,0.2,8,0.333333333,
1/1/2024 9:00,7,0.2,9,0.375,
1/1/2024 10:00,6.9,0.1,10,0.416666667,
1/1/2024 11:00,7.1,0.1,11,0.458333333,
1/1/2024 12:00,7.2,0,12,0.5,
1/1/2024 13:00,7.6,0.1,13,0.541666667,
1/1/2024 14:00,7.8,0.2,14,0.583333333,
1/1/2024 15:00,8,0,15,0.625,
1/1/2024 16:00,7.9,0,16,0.666666667,
1/1/2024 17:00,7.4,0,17,0.708333333,
1/1/2024 18:00,6.8,0,18,0.75,
1/1/2024 19:00,6.5,0,19,0.791666667,
1/1/2024 20:00,6.5,0,20,0.833333333,
1/1/2024 21:00,5.9,0,21,0.875,
1/1/2024 22:00,5.9,0,22,0.916666667,
1/1/2024 23:00,5.7,0,23,0.958333333,
1/2/2024 0:00,5.3,0,0,0,
1/2/2024 1:00,5.5,0,1,0.041666667,
1/2/2024 2:00,5.6,0.1,2,0.083333333,
1/2/2024 3:00,5.8,0.3,3,0.125,
1/2/2024 4:00,5.9,0.6,4,0.166666667,
1/2/2024 5:00,6.2,1.3,5,0.208333333,
1/2/2024 6:00,6.4,0.7,6,0.25,
1/2/2024 7:00,6.3,1.4,7,0.291666667,
1/2/2024 8:00,6.8,1.6,8,0.333333333,
1/2/2024 9:00,6.9,0.3,9,0.375,
1/2/2024 10:00,7.6,0,10,0.416666667,
1/2/2024 11:00,9.1,0,11,0.458333333,
1/2/2024 12:00,9.9,0,12,0.5,
1/2/2024 13:00,10.4,0,13,0.541666667,
1/2/2024 14:00,10.6,0,14,0.583333333,
1/2/2024 15:00,10.4,0.1,15,0.625,
1/2/2024 16:00,10.4,1.2,16,0.666666667,
1/2/2024 17:00,10.4,0.8,17,0.708333333,
1/2/2024 18:00,9.7,1.6,18,0.75,
1/2/2024 19:00,9.4,1.8,19,0.791666667,
1/2/2024 20:00,9.9,2.9,20,0.833333333,
1/2/2024 21:00,10,0.8,21,0.875,
1/2/2024 22:00,10.4,2.2,22,0.916666667,
1/2/2024 23:00,11.1,0.3,23,0.958333333,
1/3/2024 0:00,10.2,0.6,0,0,
1/3/2024 1:00,9.7,0.4,1,0.041666667,
1/3/2024 2:00,9.1,0.4,2,0.083333333,
1/3/2024 3:00,8.4,0.5,3,0.125,
1/3/2024 4:00,8.1,0.4,4,0.166666667,
1/3/2024 5:00,8.6,0.1,5,0.208333333,
1/3/2024 6:00,9.1,0.3,6,0.25,
1/3/2024 7:00,9.2,0,7,0.291666667,
1/3/2024 8:00,9.6,0,8,0.333333333,
1/3/2024 9:00,9.2,0,9,0.375,
1/3/2024 10:00,8.8,0,10,0.416666667,
1/3/2024 11:00,9.1,0,11,0.458333333,
1/3/2024 12:00,9.1,0,12,0.5,
1/3/2024 13:00,9.3,0,13,0.541666667,
1/3/2024 14:00,9.2,0.4,14,0.583333333,
1/3/2024 15:00,9.1,0.1,15,0.625,
1/3/2024 16:00,8.6,0.6,16,0.666666667,
1/3/2024 17:00,8.7,0.1,17,0.708333333,
1/3/2024 18:00,8.5,0.1,18,0.75,
1/3/2024 19:00,8.4,0.1,19,0.791666667,
1/3/2024 20:00,8.1,0.2,20,0.833333333,
1/3/2024 21:00,7.9,0.2,21,0.875,
1/3/2024 22:00,7.9,0.1,22,0.916666667,
1/3/2024 23:00,7.8,0.9,23,0.958333333,
1/4/2024 0:00,7.4,0,0,0,
1/4/2024 1:00,7.2,0,1,0.041666667,
1/4/2024 2:00,6.8,0,2,0.083333333,
1/4/2024 3:00,6.2,0,3,0.125,
1/4/2024 4:00,5.8,0,4,0.166666667,
1/4/2024 5:00,5.4,0,5,0.208333333,
1/4/2024 6:00,4.8,0,6,0.25,
1/4/2024 7:00,4.2,0,7,0.291666667,
1/4/2024 8:00,4.2,0,8,0.333333333,
1/4/2024 9:00,4,0,9,0.375,
1/4/2024 10:00,3.7,0,10,0.416666667,
1/4/2024 11:00,3.8,0,11,0.458333333,
1/4/2024 12:00,4,0,12,0.5,
1/4/2024 13:00,4.2,0,13,0.541666667,
1/4/2024 14:00,4.6,0,14,0.583333333,
1/4/2024 15:00,4.7,0,15,0.625,
1/4/2024 16:00,4.7,0,16,0.666666667,
1/4/2024 17:00,4.6,0,17,0.708333333,
1/4/2024 18:00,4.2,0,18,0.75,
1/4/2024 19:00,4,0.1,19,0.791666667,
1/4/2024 20:00,3.7,0.1,20,0.833333333,
1/4/2024 21:00,3.4,0.1,21,0.875,
1/4/2024 22:00,3.2,0,22,0.916666667,
1/4/2024 23:00,3,0,23,0.958333333,
1/5/2024 0:00,3,0,0,0,
1/5/2024 1:00,2.8,0,1,0.041666667,
1/5/2024 2:00,2.8,0.2,2,0.083333333,
1/5/2024 3:00,2.8,0.1,3,0.125,
1/5/2024 4:00,2.7,0.7,4,0.166666667,
1/5/2024 5:00,2.9,0.2,5,0.208333333,
1/5/2024 6:00,3,0.1,6,0.25,
1/5/2024 7:00,3.3,0,7,0.291666667,
1/5/2024 8:00,3.5,0,8,0.333333333,
1/5/2024 9:00,3.8,0,9,0.375,
1/5/2024 10:00,3.9,0.1,10,0.416666667,
1/5/2024 11:00,4.4,2.2,11,0.458333333,
1/5/2024 12:00,4.9,1.2,12,0.5,
1/5/2024 13:00,5.8,1.2,13,0.541666667,
1/5/2024 14:00,6.8,0.2,14,0.583333333,
1/5/2024 15:00,6.1,0.7,15,0.625,
1/5/2024 16:00,5.8,0.6,16,0.666666667,
1/5/2024 17:00,5.8,0.9,17,0.708333333,
1/5/2024 18:00,5.7,0.9,18,0.75,
