Week;Date;Nederlands;Germany
6;05.02.2024;+;+
6;06.02.2024;+;+
6;07.02.2024;+;+
6;08.02.2024;+;+
6;09.02.2024;+;+
6;10.02.2024;+;+
6;11.02.2024;+;+
7;12.02.2024;+;
7;13.02.2024;+;
7;14.02.2024;+;
7;15.02.2024;+;
7;16.02.2024;+;
7;17.02.2024;+;
7;18.02.2024;+;
8;19.02.2024;;+
8;20.02.2024;;+
8;21.02.2024;;+
8;22.02.2024;;+
8;23.02.2024;;+
8;24.02.2024;;+
8;25.02.2024;;+
12;18.03.2024;;+
12;19.03.2024;;+
12;20.03.2024;;+
12;21.03.2024;;+
12;22.03.2024;;+
12;23.03.2024;;+
12;24.03.2024;;+
14;01.04.2024;;+
14;02.04.2024;;+
14;03.04.2024;;+
14;04.04.2024;;+
14;05.04.2024;;+
14;06.04.2024;;+
14;07.04.2024;;+
20;13.05.2024;+;
20;14.05.2024;+;
20;15.05.2024;+;
20;16.05.2024;+;
20;17.05.2024;+;
20;18.05.2024;+;
20;19.05.2024;+;
21;20.05.2024;+;
21;21.05.2024;+;
21;22.05.2024;+;
21;23.05.2024;+;
21;24.05.2024;+;
21;25.05.2024;+;
21;26.05.2024;+;
22;27.05.2024;+;
22;28.05.2024;+;
22;29.05.2024;+;
22;30.05.2024;+;
22;31.05.2024;+;
22;01.06.2024;+;
22;02.06.2024;+;
23;03.06.2024;+;
23;04.06.2024;+;
23;05.06.2024;+;
23;06.06.2024;+;
23;07.06.2024;+;
23;08.06.2024;+;
23;09.06.2024;+;
24;10.06.2024;+;
24;11.06.2024;+;
24;12.06.2024;+;
24;13.06.2024;+;
24;14.06.2024;+;
24;15.06.2024;+;
24;16.06.2024;+;
25;17.06.2024;+;+
25;18.06.2024;+;+
25;19.06.2024;+;+
25;20.06.2024;+;+
25;21.06.2024;+;+
25;22.06.2024;+;+
25;23.06.2024;+;+
26;24.06.2024;+;+
26;25.06.2024;+;+
26;26.06.2024;+;+
26;27.06.2024;+;+
26;28.06.2024;+;+
26;29.06.2024;+;+
26;30.06.2024;+;+
27;01.07.2024;+;
27;02.07.2024;+;
27;03.07.2024;+;
27;04.07.2024;+;
27;05.07.2024;+;
27;06.07.2024;+;
27;07.07.2024;+;
28;08.07.2024;+;
28;09.07.2024;+;
28;10.07.2024;+;
28;11.07.2024;+;
28;12.07.2024;+;
28;13.07.2024;+;
28;14.07.2024;+;
29;15.07.2024;+;
29;16.07.2024;+;
29;17.07.2024;+;
29;18.07.2024;+;
29;19.07.2024;+;
29;20.07.2024;+;
29;21.07.2024;+;
42;14.10.2024;+;
42;15.10.2024;+;
42;16.10.2024;+;
42;17.10.2024;+;
42;18.10.2024;+;
42;19.10.2024;+;
42;20.10.2024;+;
43;21.10.2024;+;
43;22.10.2024;+;
43;23.10.2024;+;
43;24.10.2024;+;
43;25.10.2024;+;
43;26.10.2024;+;
43;27.10.2024;+;
44;28.10.2024;+;
44;29.10.2024;+;
44;30.10.2024;+;
44;31.10.2024;+;
44;01.11.2024;+;
44;02.11.2024;+;
44;03.11.2024;+;
51;16.12.2024;+;+
51;17.12.2024;+;+
51;18.12.2024;+;+
51;19.12.2024;+;+
51;20.12.2024;+;+
51;21.12.2024;+;+
51;22.12.2024;+;+
;06.01.2025;+;
;07.01.2025;+;
;08.01.2025;+;
;09.01.2025;+;
;10.01.2025;+;
;11.01.2025;+;
;12.01.2025;+;
;13.01.2025;+;
;14.01.2025;+;
;15.01.2025;+;
;16.01.2025;+;
;17.01.2025;+;
;18.01.2025;+;
;19.01.2025;+;
;20.01.2025;+;
;21.01.2025;+;
;22.01.2025;+;
;23.01.2025;+;
;24.01.2025;+;
;25.01.2025;+;
;26.01.2025;+;
;27.01.2025;+;
;28.01.2025;+;
;29.01.2025;+;
;30.01.2025;+;
;31.01.2025;+;
;01.02.2025;+;
;02.02.2025;+;
;03.02.2025;+;
;04.02.2025;+;
;05.02.2025;+;
;06.02.2025;+;
;07.02.2025;+;
;08.02.2025;+;
;09.02.2025;+;
;10.02.2025;+;
;11.02.2025;+;
;12.02.2025;+;
;13.02.2025;+;
;14.02.2025;+;
;15.02.2025;+;
;16.02.2025;+;
;17.02.2025;+;
;18.02.2025;+;
;19.02.2025;+;
;20.02.2025;+;
;21.02.2025;+;
;22.02.2025;+;
;23.02.2025;+;+
;31.03.2025;+;+
;01.04.2025;+;+
;02.04.2025;+;+
;03.04.2025;+;+
;04.04.2025;+;+
;05.04.2025;+;+
;06.04.2025;+;+
;07.04.2025;+;
;08.04.2025;+;
;09.04.2025;+;
;10.04.2025;+;
;11.04.2025;+;
;12.04.2025;+;
;13.04.2025;+;
;14.04.2025;+;
;15.04.2025;+;
;16.04.2025;+;
;17.04.2025;+;
;18.04.2025;+;
;19.04.2025;+;
;20.04.2025;+;
;21.04.2025;;+
;22.04.2025;;+
;23.04.2025;;+
;24.04.2025;;+
;25.04.2025;;+
;26.04.2025;;+
;27.04.2025;;+
;05.05.2025;+;
;06.05.2025;+;
;07.05.2025;+;
;08.05.2025;+;
;09.05.2025;+;
;10.05.2025;+;
;11.05.2025;+;
;16.06.2025;+;
;17.06.2025;+;
;18.06.2025;+;
;19.06.2025;+;
;20.06.2025;+;
;21.06.2025;+;
;22.06.2025;+;
;23.06.2025;+;+
;24.06.2025;+;+
;25.06.2025;+;+
;26.06.2025;+;+
;27.06.2025;+;+
;28.06.2025;+;+
;29.06.2025;+;+
;30.06.2025;+;+
;01.07.2025;+;+
;02.07.2025;+;+
;03.07.2025;+;+
;04.07.2025;+;+
;05.07.2025;+;+
;06.07.2025;+;+
;07.07.2025;+;+
;08.07.2025;+;+
;09.07.2025;+;+
;10.07.2025;+;+
;11.07.2025;+;+
;12.07.2025;+;+
;13.07.2025;+;+
;14.07.2025;+;
;15.07.2025;+;
;16.07.2025;+;
;17.07.2025;+;
;18.07.2025;+;
;19.07.2025;+;
;20.07.2025;+;
;18.08.2025;+;
;19.08.2025;+;
;20.08.2025;+;
;21.08.2025;+;
;22.08.2025;+;
;23.08.2025;+;
;24.08.2025;+;
;25.08.2025;+;
;26.08.2025;+;
;27.08.2025;+;
;28.08.2025;+;
;29.08.2025;+;
;30.08.2025;+;
;31.08.2025;+;
;06.10.2025;+;+
;07.10.2025;+;+
;08.10.2025;+;+
;09.10.2025;+;+
;10.10.2025;+;+
;11.10.2025;+;+
;12.10.2025;+;+
;13.10.2025;+;
;14.10.2025;+;
;15.10.2025;+;
;16.10.2025;+;
;17.10.2025;+;
;18.10.2025;+;
;19.10.2025;+;
;20.10.2025;+;
;21.10.2025;+;
;22.10.2025;+;
;23.10.2025;+;
;24.10.2025;+;
;25.10.2025;+;
;26.10.2025;+;
;08.12.2025;+;+
;09.12.2025;+;+
;10.12.2025;+;+
;11.12.2025;+;+
;12.12.2025;+;+
;13.12.2025;+;+
;14.12.2025;+;+
;15.12.2025;+;+
;16.12.2025;+;+
;17.12.2025;+;+
;18.12.2025;+;+
;19.12.2025;+;+
;20.12.2025;+;+
;21.12.2025;+;+
;02.02.2026;+;
;03.02.2026;+;
;04.02.2026;+;
;05.02.2026;+;
;06.02.2026;+;
;07.02.2026;+;
;08.02.2026;+;+
;09.02.2026;+;+
;10.02.2026;+;+
;11.02.2026;+;+
;12.02.2026;+;+
;13.02.2026;+;+
;14.02.2026;+;+
;15.02.2026;+;+
;16.02.2026;+;+
;17.02.2026;+;+
;18.02.2026;+;+
;19.02.2026;+;+
;20.02.2026;+;+
;21.02.2026;+;+
;22.02.2026;+;+
;09.03.2026;+;
;10.03.2026;+;
;11.03.2026;+;
;12.03.2026;+;
;13.03.2026;+;
;14.03.2026;+;
;15.03.2026;+;
;09.03.2026;;+
;10.03.2026;;+
;11.03.2026;;+
;12.03.2026;;+
;13.03.2026;;+
;14.03.2026;;+
;15.03.2026;;+
;16.03.2026;;+
;17.03.2026;;+
;18.03.2026;;+
;19.03.2026;;+
;20.03.2026;;+
;21.03.2026;;+
;22.03.2026;;+
;23.03.2026;;+
;24.03.2026;;+
;25.03.2026;;+
;26.03.2026;;+
;27.03.2026;;+
;28.03.2026;;+
;29.03.2026;;+
;30.03.2026;+;
;31.03.2026;+;
;01.04.2026;+;
;02.04.2026;+;
;03.04.2026;+;
;04.04.2026;+;
;05.04.2026;+;
;06.04.2026;+;
;07.04.2026;+;
;08.04.2026;+;
;09.04.2026;+;
;10.04.2026;+;
;11.04.2026;+;
;12.04.2026;+;
;13.04.2026;+;
;14.04.2026;+;
;15.04.2026;+;
;16.04.2026;+;
;17.04.2026;+;
;18.04.2026;+;
;19.04.2026;+;
;04.05.2026;+;
;05.05.2026;+;
;06.05.2026;+;
;07.05.2026;+;
;08.05.2026;+;
;09.05.2026;+;
;10.05.2026;+;
;11.05.2026;+;
;12.05.2026;+;
;13.05.2026;+;
;14.05.2026;+;
;15.05.2026;+;
;16.05.2026;+;
;17.05.2026;+;
;18.05.2026;+;
;19.05.2026;+;
;20.05.2026;+;
;21.05.2026;+;
;22.05.2026;+;
;23.05.2026;+;
;24.05.2026;+;
;15.06.2026;;+
;16.06.2026;;+
;17.06.2026;;+
;18.06.2026;;+
;19.06.2026;;+
;20.06.2026;;+
;21.06.2026;;+
;22.06.2026;+;+
;23.06.2026;+;+
;24.06.2026;+;+
;25.06.2026;+;+
;26.06.2026;+;+
;27.06.2026;+;+
;28.06.2026;+;+
;29.06.2026;+;+
;30.06.2026;+;+
;01.07.2026;+;+
;02.07.2026;+;+
;03.07.2026;+;+
;04.07.2026;+;+
;05.07.2026;+;+
;06.07.2026;+;+
;07.07.2026;+;+
;08.07.2026;+;+
;09.07.2026;+;+
;10.07.2026;+;+
;11.07.2026;+;+
;12.07.2026;+;+
;13.07.2026;+;
;14.07.2026;+;
;15.07.2026;+;
;16.07.2026;+;
;17.07.2026;+;
;18.07.2026;+;
;19.07.2026;+;
;17.08.2026;+;+
;18.08.2026;+;+
;19.08.2026;+;+
;20.08.2026;+;+
;21.08.2026;+;+
;22.08.2026;+;+
;23.08.2026;+;+
;24.08.2026;+;
;25.08.2026;+;
;26.08.2026;+;
;27.08.2026;+;
;28.08.2026;+;
;29.08.2026;+;
;30.08.2026;+;
;28.09.2026;+;+
;29.09.2026;+;+
;30.09.2026;+;+
;01.10.2026;+;+
;02.10.2026;+;+
;03.10.2026;+;+
;04.10.2026;+;+
;05.10.2026;+;+
;06.10.2026;+;+
;07.10.2026;+;+
;08.10.2026;+;+
;09.10.2026;+;+
;10.10.2026;+;+
;11.10.2026;+;+
;12.10.2026;+;+
;13.10.2026;+;+
;14.10.2026;+;+
;15.10.2026;+;+
;16.10.2026;+;+
;17.10.2026;+;+
;18.10.2026;+;+
;19.10.2026;+;
;20.10.2026;+;
;21.10.2026;+;
;22.10.2026;+;
;23.10.2026;+;
;24.10.2026;+;
;25.10.2026;+;
;26.10.2026;+;
;27.10.2026;+;
;28.10.2026;+;
;29.10.2026;+;
;30.10.2026;+;
;31.10.2026;+;
;01.11.2026;+;
;23.11.2026;+;
;24.11.2026;+;
;25.11.2026;+;
;26.11.2026;+;
;27.11.2026;+;
;28.11.2026;+;
