Date,Event
2025-04-06,4 Mijl van Emmen
2025-04-27,Koningsdag
2025-05-05,Bevrijdingsdag
2025-06-06,BARREL Food Truck Fest
2025-06-07,BARREL Food Truck Fest
2025-06-08,BARREL Food Truck Fest
2025-06-09,BARREL Food Truck Fest
2025-06-14,Hello Festival
2025-06-20,Midzomerfestival
2025-06-20,Alles Kids in Drenthe
2025-06-21,Alles Kids in Drenthe
2025-06-21,TT Festival Assen
2025-06-22,TT Festival Assen
2025-06-23,TT Festival Assen
2025-06-24,TT Festival Assen
2025-06-25,TT Festival Assen
2025-06-26,TT Festival Assen
2025-06-27,TT Festival Assen
2025-06-28,TT Festival Assen
2025-06-29,TT Festival Assen
2025-07-19,C'est La Vie Festival
2025-07-20,C'est La Vie Festival
2025-08-03,Gouden Pijl
2025-09-12,Ganzenfestival
2025-10-13,Ganzenmarkt Coevorden




