Date,Holiday
01.01.2025,New Year's Day (Public Holiday)
24.02.2025,Rose Monday (Carnival - School-specific day off)
14.04.2025-26.04.2025,Easter Holidays (School Holiday)
18.04.2025,Good Friday (Public Holiday)
21.04.2025,Easter Monday (Public Holiday)
01.05.2025,Labour Day (Public Holiday)
29.05.2025,Ascension Day (Public Holiday)
09.06.2025,Whit Monday (Public Holiday)
10.06.2025,Whitsun Holiday (School Holiday)
19.06.2025,Corpus Christi (Public Holiday)
14.07.2025-26.08.2025,Summer Holidays (School Holiday)
03.10.2025,German Unity Day (Public Holiday)
13.10.2025-25.10.2025,Autumn Holidays (School Holiday)
01.11.2025,All Saints' Day (Public Holiday)
22.12.2025-06.01.2026,Christmas Holidays (School Holiday)
25.12.2025,Christmas Day (Public Holiday)
26.12.2025,Second Day of Christmas (Public Holiday)
