AccessGroupId;Description;Date;NumberOfUsedEntrances
10;Acties Joint Promotions Overig;02.01.2025;34.00000
19;Acties E-Ticket;02.01.2025;11.00000
20;Acties Overig;02.01.2025;53.00000
22;Acties Joint Promotions Open e-tickets;02.01.2025;757.00000
27;Acties Joint Promotions gesloten e-tickets;02.01.2025;1119.00000
31;Acties Joint Promotions open Overig;02.01.2025;37.00000
32;Acties Joint Promotions gesloten Overig;02.01.2025;30.00000
10;Acties Joint Promotions Overig;03.01.2025;3.00000
19;Acties E-Ticket;03.01.2025;31.00000
20;Acties Overig;03.01.2025;51.00000
22;Acties Joint Promotions Open e-tickets;03.01.2025;622.00000
27;Acties Joint Promotions gesloten e-tickets;03.01.2025;828.00000
31;Acties Joint Promotions open Overig;03.01.2025;20.00000
32;Acties Joint Promotions gesloten Overig;03.01.2025;18.00000
10;Acties Joint Promotions Overig;04.01.2025;12.00000
20;Acties Overig;04.01.2025;65.00000
22;Acties Joint Promotions Open e-tickets;04.01.2025;682.00000
27;Acties Joint Promotions gesloten e-tickets;04.01.2025;965.00000
31;Acties Joint Promotions open Overig;04.01.2025;2.00000
32;Acties Joint Promotions gesloten Overig;04.01.2025;31.00000
10;Acties Joint Promotions Overig;05.01.2025;10.00000
19;Acties E-Ticket;05.01.2025;7.00000
22;Acties Joint Promotions Open e-tickets;05.01.2025;89.00000
27;Acties Joint Promotions gesloten e-tickets;05.01.2025;96.00000
31;Acties Joint Promotions open Overig;05.01.2025;8.00000
32;Acties Joint Promotions gesloten Overig;05.01.2025;2.00000
10;Acties Joint Promotions Overig;07.01.2025;2.00000
19;Acties E-Ticket;07.01.2025;11.00000
20;Acties Overig;07.01.2025;2.00000
27;Acties Joint Promotions gesloten e-tickets;07.01.2025;1.00000
10;Acties Joint Promotions Overig;08.01.2025;13.00000
20;Acties Overig;08.01.2025;12.00000
22;Acties Joint Promotions Open e-tickets;08.01.2025;14.00000
27;Acties Joint Promotions gesloten e-tickets;08.01.2025;66.00000
31;Acties Joint Promotions open Overig;08.01.2025;6.00000
32;Acties Joint Promotions gesloten Overig;08.01.2025;6.00000
19;Acties E-Ticket;09.01.2025;42.00000
20;Acties Overig;09.01.2025;1.00000
22;Acties Joint Promotions Open e-tickets;09.01.2025;10.00000
27;Acties Joint Promotions gesloten e-tickets;09.01.2025;14.00000
10;Acties Joint Promotions Overig;10.01.2025;4.00000
19;Acties E-Ticket;10.01.2025;46.00000
20;Acties Overig;10.01.2025;3.00000
22;Acties Joint Promotions Open e-tickets;10.01.2025;19.00000
27;Acties Joint Promotions gesloten e-tickets;10.01.2025;12.00000
10;Acties Joint Promotions Overig;11.01.2025;6.00000
19;Acties E-Ticket;11.01.2025;14.00000
20;Acties Overig;11.01.2025;15.00000
22;Acties Joint Promotions Open e-tickets;11.01.2025;223.00000
27;Acties Joint Promotions gesloten e-tickets;11.01.2025;176.00000
31;Acties Joint Promotions open Overig;11.01.2025;4.00000
32;Acties Joint Promotions gesloten Overig;11.01.2025;8.00000
10;Acties Joint Promotions Overig;12.01.2025;42.00000
19;Acties E-Ticket;12.01.2025;32.00000
20;Acties Overig;12.01.2025;23.00000
22;Acties Joint Promotions Open e-tickets;12.01.2025;202.00000
27;Acties Joint Promotions gesloten e-tickets;12.01.2025;131.00000
32;Acties Joint Promotions gesloten Overig;12.01.2025;1.00000
10;Acties Joint Promotions Overig;13.01.2025;3.00000
19;Acties E-Ticket;13.01.2025;40.00000
22;Acties Joint Promotions Open e-tickets;13.01.2025;15.00000
27;Acties Joint Promotions gesloten e-tickets;13.01.2025;9.00000
31;Acties Joint Promotions open Overig;13.01.2025;4.00000
