Date,Nr Used Entrances,Temperature (mean),Precipitation (sum),Vacation,Event,Campaign
2023-01-02,3642,9.5,8.1,0,0,0
2023-01-03,6626,4.8,0.2,0,0,0
2023-01-04,3881,10.0,20.1,0,0,0
2023-01-05,7012,9.0,3.0,0,0,0
2023-01-06,5810,9.0,2.0,0,0,0
2023-01-07,5972,9.5,0.3,0,0,0
2023-01-08,4180,8.3,0.2,0,0,0
2023-01-09,232,5.8,3.8,0,0,0
2023-01-10,286,5.6,4.6,0,0,0
2023-01-11,501,8.9,9.4,0,0,0
2023-01-12,128,9.4,20.0,0,0,0
2023-01-13,242,7.3,0.7,0,0,0
2023-01-14,647,7.3,16.3,0,0,0
2023-01-15,1379,5.5,6.4,0,0,0
2023-01-16,116,3.7,5.8,0,0,0
2023-01-17,338,1.7,2.1,0,0,0
2023-01-18,574,0.3,2.4,0,0,0
2023-01-19,286,2.0,0.6,0,0,0
2023-01-20,462,-0.5,0.0,0,0,0
2023-01-21,1699,-0.4,0.0,0,0,0
2023-01-22,2321,0.4,0.0,0,0,0
2023-01-23,418,2.4,0.0,0,0,0
2023-01-24,301,1.1,0.0,0,0,0
2023-01-25,492,-1.6,0.0,0,0,0
2023-01-26,386,2.6,0.9,0,0,0
2023-01-27,555,3.0,0.0,0,0,0
2023-01-28,2101,1.6,0.0,0,0,0
2023-01-29,2742,3.3,0.0,0,0,0
2023-01-30,664,5.9,3.2,Winter Holiday,0,0
2023-01-31,464,5.3,4.4,Winter Holiday,0,0
2023-02-01,477,5.5,5.6,Winter Holiday,0,0
2023-02-02,578,5.9,9.3,Palm Sunday; Winter Holiday,0,0
2023-02-03,601,8.4,0.5,Winter Holiday,0,0
2023-02-04,2365,5.3,0.0,Winter Holiday,0,0
2023-02-05,2764,5.2,2.7,Winter Holiday,0,0
2023-02-06,805,2.9,0.0,0,0,0
2023-02-07,562,-0.8,0.0,0,0,0
2023-02-08,1104,-0.5,0.0,0,0,0
2023-02-09,545,1.5,0.2,0,0,0
2023-02-10,843,3.6,0.0,0,0,0
2023-02-11,2061,7.3,0.0,0,0,0
2023-02-12,3319,7.0,0.0,0,0,0
2023-02-13,752,6.8,0.0,0,0,0
2023-02-14,866,4.2,0.0,0,0,0
2023-02-15,1190,4.2,0.0,0,0,0
2023-02-16,456,6.5,1.3,0,0,0
2023-02-17,557,9.5,1.6,0,0,0
2023-02-18,1406,9.0,4.3,Spring Holiday,0,0
2023-02-19,3163,6.9,2.6,Spring Holiday,0,0
2023-02-20,1067,7.3,0.5,Spring Holiday,0,0
2023-02-21,829,9.4,0.7,Spring Holiday,0,0
2023-02-22,1415,8.2,5.2,Spring Holiday,0,0
2023-02-23,689,6.7,0.6,Spring Holiday,0,0
2023-02-24,872,3.9,6.7,Spring Holiday,0,0
2023-02-25,2628,3.5,0.5,Spring Holiday,0,0
2023-02-26,4389,1.5,0.0,Spring Holiday,0,0
2023-02-27,3415,1.5,0.0,0,0,0
2023-02-28,3447,2.0,0.5,0,0,0
2023-03-01,4801,0.6,0.0,0,0,0
2023-03-02,3875,1.2,0.0,0,0,0
2023-03-03,4015,3.0,0.0,0,0,0
2023-03-04,3045,5.2,0.6,0,0,0
2023-03-05,2911,3.6,0.9,0,0,0
2023-03-06,578,2.8,4.6,0,0,0
2023-03-07,380,2.4,3.7,0,0,0
2023-03-08,1049,0.8,0.2,0,0,0
2023-03-09,376,1.2,6.7,0,0,0
2023-03-10,276,0.9,16.6,0,0,0
2023-03-11,1959,0.4,0.0,0,0,0
2023-03-12,1832,3.9,1.2,0,0,0
2023-03-13,397,11.8,3.2,0,0,0
2023-03-14,480,6.4,5.8,0,0,0
2023-03-15,1248,3.5,0.1,0,0,0
2023-03-16,465,5.5,0.6,0,0,0
2023-03-17,1079,10.8,0.3,0,0,0
2023-03-18,2943,11.4,5.2,0,0,0
2023-03-19,3790,9.9,2.2,0,0,0
2023-03-20,698,8.0,0.6,0,0,0
2023-03-21,625,10.0,2.0,0,0,0
2023-03-22,983,10.2,1.9,0,0,0
2023-03-23,621,11.5,6.5,0,0,0
2023-03-24,926,10.9,5.3,0,0,0
2023-03-25,1852,8.5,11.6,0,0,0
2023-03-26,3848,6.3,0.0,0,0,0
2023-03-27,1306,3.8,1.7,Spring Holiday,0,0
2023-03-28,1081,4.3,0.6,Spring Holiday,0,0
2023-03-29,1843,8.5,1.3,Spring Holiday,0,0
2023-03-30,889,11.8,2.6,Spring Holiday,0,0
2023-03-31,510,10.0,12.7,Spring Holiday,0,0
2023-04-01,1518,8.7,8.8,Spring Holiday,0,0
2023-04-02,4619,4.9,0.0,Spring Holiday,0,0
2023-04-03,2219,3.7,0.0,Spring Holiday,0,0
2023-04-04,2152,3.5,0.0,Spring Holiday,0,0
2023-04-05,3549,3.8,0.0,Spring Holiday,0,0
2023-04-06,2211,5.6,5.8,Spring Holiday,0,0
2023-04-07,3850,8.0,5.1,Good Friday; Spring Holiday,0,0
2023-04-08,4426,7.2,0.0,Spring Holiday,0,0
2023-04-09,5140,9.8,0.0,Easter Sunday; Spring Holiday,0,0
2023-04-10,5310,10.5,3.4,Easter Monday; Spring Holiday,0,0
2023-04-11,1869,8.1,3.0,0,0,0
2023-04-12,903,7.9,9.9,0,0,0
2023-04-13,1488,7.3,5.5,0,0,0
2023-04-14,3070,7.7,0.3,0,0,0
