date,visitors,temperature,rain_mm,vacation,event
2024-07-01,3400,24,0,1,0
2024-07-02,3200,22,5,1,0
2024-07-03,4100,25,0,1,1
2024-07-04,2800,18,12,0,0
2024-07-05,3600,23,0,0,0
2024-07-06,4500,27,0,1,1
2024-07-07,2200,19,8,0,0
2024-07-08,3000,21,0,0,0
2024-07-09,3800,26,3,0,1
2024-07-10,4000,28,0,0,0
2024-07-11,2900,20,7,0,0
2024-07-12,3100,22,0,0,0
2024-07-13,4300,27,0,1,1
2024-07-14,2500,19,10,0,0
2024-07-15,3600,23,0,0,0
2024-07-16,4500,28,0,1,1
2024-07-17,2300,18,5,0,0
2024-07-18,3000,21,0,0,0
2024-07-19,3700,26,0,0,1
2024-07-20,4100,27,0,0,0
2024-07-21,2800,20,8,0,0
2024-07-22,3200,22,0,0,0
2024-07-23,4400,27,0,1,1
2024-07-24,2400,19,6,0,0
2024-07-25,3500,23,0,0,0
2024-07-26,4600,28,0,1,1
2024-07-27,2200,18,4,0,0
2024-07-28,3100,21,0,0,0
2024-07-29,3800,26,0,0,1
2024-07-30,4000,27,0,0,0
